Número de orden;cliente_hash;Fecha;Estado de la orden;Estado del pago;Estado del envío;Moneda;Subtotal de productos;Descuento;Costo de envío;Total;Provincia o estado;País;Medio de envío;Medio de pago;Cupón de descuento;Fecha de pago;Fecha de envío;Nombre del producto;Precio del producto;Cantidad del producto;SKU;Canal;Identificador de la orden;Producto Físico;Sucursal de venta;Fecha y hora de cancelación;Motivo de cancelación;Orden editada;Saldo a cobrar / reembolsar;Reembolso;Costo de procesamiento;Cantidad de cuotas;Interés por cuotas;Impuestos;Devolución de cargos;Total neto;Forma de pago;Dinero disponible para retirar a partir de;Estado del contracargo;Fecha de reembolso;Fecha de vencimiento del pago;Venta original
6318;9fb571703b;05/08/2026 17:07:29;Abierta;Recibido;No está empaquetado;ARS;432000;237600.00;0;194400;;Argentina;Retirado en Punto de Venta;Pago manual;POS-ORDER-1785960426757;06/08/2026;;SHOOW TOOLS - SO CLASSY (10PAIRS);36000;6;850056827027;Punto de venta;2037754399;Sí;Beauty House;;;No;;;;;;;;;A convenir;;;;;
6318;9fb571703b;;;;;;;;;;;;;;;;;SHOOW TOOLS - NATURAL SHOOW (10 PAIRS);36000;1;850056827003;;;Sí;;;;;;;;;;;;;;;;;;
6318;9fb571703b;;;;;;;;;;;;;;;;;SHOOW TOOLS - FOXY CAT EYE (10PAIRS);36000;5;850056827119;;;Sí;;;;;;;;;;;;;;;;;;
6317;3912a716d5;05/08/2026 16:42:24;Abierta;Recibido;No está empaquetado;ARS;30000;0.00;5943;35943;Gran Buenos Aires;Argentina;Punto de retiro;Mercado Pago;;05/08/2026;;SHOOW TOOLS - CLARA BOW (BLACK);30000;1;;Móvil;2037731412;Sí;;;;No;;;;1;;;;;Tarjeta de crédito;;;;;
6316;8f74b17afa;04/08/2026 20:00:01;Abierta;Recibido;No está empaquetado;ARS;120000;0.00;10734;130734;Santa Fe;Argentina;Envío Nube - Correo Argentino Clásico a domicilio;Mercado Pago;;04/08/2026;;SHOOW TOOLS - CLARA BOW (BLACK);30000;2;;Móvil;2036936065;Sí;;;;No;;;;;;;;;Billetera virtual;;;;;
6316;8f74b17afa;;;;;;;;;;;;;;;;;SHOOW TOOLS - Elizabeth Taylor (BLACK);30000;2;;;;Sí;;;;;;;;;;;;;;;;;;
6315;c88c9679f5;04/08/2026 14:20:50;Abierta;Recibido;No está empaquetado;ARS;45000;9000.00;10196.55;46196.55;Buenos Aires;Argentina;Envío Nube - Andreani a domicilio;Transferencia;;04/08/2026;;SHOOW TOOLS - ISABEL I (BLACK) (MIXED (8/10/12/14mm));30000;1;;Móvil;2036649218;Sí;;;;No;;;;;;;;;Transferencia o depósito;;;;;
6315;c88c9679f5;;;;;;;;;;;;;;;;;SHOOW TOOLS - Triangle powder puff (3 units);15000;1;;;;Sí;;;;;;;;;;;;;;;;;;
6314;d8d476a470;04/08/2026 12:41:02;Abierta;Recibido;No está empaquetado;ARS;30000;6000.00;9776;33776;Buenos Aires;Argentina;Envío Nube - Correo Argentino Clásico a domicilio;Transferencia;;04/08/2026;;SHOOW TOOLS - ISABEL I (BLACK) (MIXED (8/10/12/14mm));30000;1;;Móvil;2036564321;Sí;;;;No;;;;;;;;;Transferencia o depósito;;;;;
6313;1dcedbeb62;03/08/2026 16:48:03;Archivada;Recibido;Entregado;ARS;360000;180000.00;0;180000;;Argentina;Retirado en Punto de Venta;Transferencia o depósito;POS-ORDER-1785786466225;03/08/2026;03/08/2026;SHOOW TOOLS - TAYLOR (BLACK) (MIXED (8/10/12/14mm));30000;4;;Punto de venta;2035793268;Sí;Beauty House;;;No;;;;;;;;;Transferencia o depósito;;;;03/08/2026 16:48:04;
6313;1dcedbeb62;;;;;;;;;;;;;;;;;SHOOW TOOLS - ISABEL I (BLACK) (MIXED (8/10/12/14mm));30000;8;;;;Sí;;;;;;;;;;;;;;;;;;
6311;b6d5c82bcb;01/08/2026 11:13:47;Archivada;Recibido;Enviado;ARS;150000;30000.00;0;120000;Capital Federal;Argentina;@Siempre.Logistica Servicio Premium. Te enviamos un WhatsApp el día anterior a tu entrega con un rango horario de solo 2 a 4hs para que no te quedes esperando todo el día. Ahorrá tiempo.;Transferencia;;02/08/2026;03/08/2026;SHOOW TOOLS - Elizabeth Taylor (BLACK);30000;1;;Móvil;2033992531;Sí;;;;No;;;;;;;;;Transferencia o depósito;;;;;
6311;b6d5c82bcb;;;;;;;;;;;;;;;;;Charlotte tilbury - Mini Iconic Lip Cheat Lip Liner Trio;120000;1;;;;Sí;;;;;;;;;;;;;;;;;;
6310;fe153f5524;01/08/2026 10:00:53;Archivada;Recibido;Entregado;ARS;50000;20000.00;4500;34500;Capital Federal;Argentina;@Siempre.Logistica Servicio Premium. Te enviamos un WhatsApp el día anterior a tu entrega con un rango horario de solo 2 a 4hs para que no te quedes esperando todo el día. Ahorrá tiempo.;Transferencia;;03/08/2026;03/08/2026;Italia deluxe - Delineadores de labios (Mauve);10000;1;082353010547;Móvil;2033934378;Sí;;;;No;;;;;;;;;Transferencia o depósito;;;;;
6310;fe153f5524;;;;;;;;;;;;;;;;;Italia deluxe - Delineadores de labios (Hazelnut);10000;1;082353010646;;;Sí;;;;;;;;;;;;;;;;;;
6310;fe153f5524;;;;;;;;;;;;;;;;;Italia deluxe - Delineadores de labios (terracotta);10000;2;082353010653;;;Sí;;;;;;;;;;;;;;;;;;
6310;fe153f5524;;;;;;;;;;;;;;;;;Italia deluxe - Delineadores de labios (natural beige);10000;1;082353010523;;;Sí;;;;;;;;;;;;;;;;;;
6309;c922819413;31/07/2026 15:39:24;Archivada;Recibido;Enviado;ARS;50000;20000.00;5943;35943;Gran Buenos Aires;Argentina;Punto de retiro;Mercado Pago;;31/07/2026;04/08/2026;Italia deluxe - Delineadores de labios (Natural);10000;1;082353010332;Móvil;2033423587;Sí;;;;No;;;;;;;;;Billetera virtual;;;;;
6309;c922819413;;;;;;;;;;;;;;;;;Italia deluxe - Delineadores de labios (Brown);10000;1;082353010400;;;Sí;;;;;;;;;;;;;;;;;;
6309;c922819413;;;;;;;;;;;;;;;;;Italia deluxe - Delineadores de labios (Hazelnut);10000;1;082353010646;;;Sí;;;;;;;;;;;;;;;;;;
6309;c922819413;;;;;;;;;;;;;;;;;Italia deluxe - Delineadores de labios (Chocolate);10000;1;082353010332;;;Sí;;;;;;;;;;;;;;;;;;
6309;c922819413;;;;;;;;;;;;;;;;;Italia deluxe - Delineadores de labios (hot cocoa);10000;1;082353010608;;;Sí;;;;;;;;;;;;;;;;;;
6308;7d7712eff0;31/07/2026 08:54:06;Archivada;Recibido;Entregado;ARS;30000;0.00;0;30000;Capital Federal;Argentina;Beauty House;Mercado Pago;;31/07/2026;03/08/2026;SHOOW TOOLS - TAYLOR (BLACK) (8mm/10mm);30000;1;;Móvil;2033097966;Sí;;;;No;;;;1;;;;;Tarjeta de crédito;;;;;
6307;99df96ba13;30/07/2026 20:37:33;Archivada;Recibido;Entregado;ARS;30000;6000.00;10555;34555;Mendoza;Argentina;Envío Nube - Correo Argentino Clásico a domicilio;Transferencia;;30/07/2026;07/08/2026;SHOOW TOOLS - Elizabeth Taylor (BLACK);30000;1;;Móvil;2032808653;Sí;;;;No;;;;;;;;;Transferencia o depósito;;;;;
6306;cb3b457aa5;30/07/2026 16:07:53;Archivada;Recibido;Entregado;ARS;90000;25200.00;0;64800;Gran Buenos Aires;Argentina;Beauty House;Efectivo (Billete);BHOHJQXJ;03/08/2026;03/08/2026;SHOOW TOOLS - ISABEL I (BLACK) (8mm/10mm);30000;1;;Móvil;2030856298;Sí;;;;No;;;;;;;;;Efectivo;;;;;
6306;cb3b457aa5;;;;;;;;;;;;;;;;;SHOOW TOOLS - TAYLOR (BLACK) (8mm/10mm);30000;1;;;;Sí;;;;;;;;;;;;;;;;;;
6306;cb3b457aa5;;;;;;;;;;;;;;;;;SHOOW TOOLS - TWIGGY (NEGRO 8mm/10mm);30000;1;;;;Sí;;;;;;;;;;;;;;;;;;
6305;d2c95c7bb4;30/07/2026 15:53:13;Archivada;Recibido;Entregado;ARS;150000;45000.00;0;105000;;Argentina;Retirado en Punto de Venta;LINK DE PAGO 3 CUOTAS;POS-ORDER-1785435258322;30/07/2026;03/08/2026;SHOOW TOOLS - TWIGGY (NEGRO (8/10/12/14mm));30000;2;;Punto de venta;2031850409;Sí;Beauty House;;;No;;;;;;;;;A convenir;;;;;
6305;d2c95c7bb4;;;;;;;;;;;;;;;;;SHOOW TOOLS - WET N WILD (BLACK);30000;1;;;;Sí;;;;;;;;;;;;;;;;;;
6305;d2c95c7bb4;;;;;;;;;;;;;;;;;SHOOW TOOLS - TWIGGY (NEGRO 8mm/10mm);30000;2;;;;Sí;;;;;;;;;;;;;;;;;;
6304;5390a8c692;30/07/2026 14:31:39;Archivada;Recibido;Entregado;ARS;60000.07;0.00;10555;70555.07;San Juan;Argentina;Envío Nube - Correo Argentino Clásico a domicilio;Pago Nube;;30/07/2026;07/08/2026;PAT MCGRATH - DARK STAR COLOUR BLITZ MASCARA ( Renegade Red (Vibrant True Red);60000.07;1;843004111767;Móvil;2032515159;Sí;;;;No;;;5153.06;1;;;;65402.01;Tarjeta de crédito;30/07/2026 14:31:44;;;;
6303;1f9f659956;30/07/2026 12:12:15;Archivada;Recibido;Entregado;ARS;104400;0.00;9776;114176;Córdoba;Argentina;Envío Nube - Correo Argentino Clásico a domicilio;Pago Nube;;30/07/2026;07/08/2026;(PRE- LANZAMIENTO) SHOOW TOOLS - MASCARA GUARD SHIELD (Aplicador de mascara/rimel);9600;1;;Web;2032406166;Sí;;;;No;;;8338.96;3;14865.71;;;90971.33;Tarjeta de crédito;30/07/2026 12:12:16;;;;
6303;1f9f659956;;;;;;;;;;;;;;;;;SHOOW TOOLS - FOXY #1 (10PAIRS);32400;2;850056827089;;;Sí;;;;;;;;;;;;;;;;;;
6303;1f9f659956;;;;;;;;;;;;;;;;;Italia deluxe - Delineadores de labios (natural beige);10000;1;082353010523;;;Sí;;;;;;;;;;;;;;;;;;
6303;1f9f659956;;;;;;;;;;;;;;;;;Italia deluxe - Delineadores de labios (hot red);10000;1;082353010479;;;Sí;;;;;;;;;;;;;;;;;;
6303;1f9f659956;;;;;;;;;;;;;;;;;Italia deluxe - Delineadores de labios (Natural);10000;1;082353010332;;;Sí;;;;;;;;;;;;;;;;;;
6302;4a7f41f360;30/07/2026 11:04:35;Archivada;Recibido;Entregado;ARS;36000;7200.00;4500;33300;Capital Federal;Argentina;@Siempre.Logistica Servicio Premium. Te enviamos un WhatsApp el día anterior a tu entrega con un rango horario de solo 2 a 4hs para que no te quedes esperando todo el día. Ahorrá tiempo.;Transferencia;;30/07/2026;04/08/2026;SHOOW TOOLS - NATURAL SHOOW (10 PAIRS);36000;1;850056827003;Móvil;2032355434;Sí;;;;No;;;;;;;;;Transferencia o depósito;;;;;
6301;f60ef34cad;29/07/2026 20:25:48;Archivada;Recibido;Entregado;ARS;90000;18000.00;0;72000;Rio Negro;Argentina;Punto de retiro;Transferencia;;29/07/2026;04/08/2026;SHOOW TOOLS - CLARA BOW (BLACK);30000;1;;Móvil;2031926242;Sí;;;;No;;;;;;;;;Transferencia o depósito;;;;;
6301;f60ef34cad;;;;;;;;;;;;;;;;;SHOOW TOOLS - TAYLOR (BLACK) (8mm/10mm);30000;1;;;;Sí;;;;;;;;;;;;;;;;;;
6301;f60ef34cad;;;;;;;;;;;;;;;;;SHOOW TOOLS - TWIGGY (NEGRO 8mm/10mm);30000;1;;;;Sí;;;;;;;;;;;;;;;;;;
6300;522a435fcd;29/07/2026 18:24:14;Archivada;Recibido;Entregado;ARS;30000;6000.00;4500;28500;Capital Federal;Argentina;@Siempre.Logistica Servicio Premium. Te enviamos un WhatsApp el día anterior a tu entrega con un rango horario de solo 2 a 4hs para que no te quedes esperando todo el día. Ahorrá tiempo.;Efectivo (Billete);;04/08/2026;04/08/2026;SHOOW TOOLS - ISABEL I (BLACK) (MIXED (8/10/12/14mm));30000;1;;Móvil;2031876790;Sí;;;;No;;;;;;;;;Efectivo;;;;;
6299;d2c95c7bb4;29/07/2026 17:44:48;Cancelada;Recibido;No está empaquetado;ARS;150000;60000.00;0;90000;;Argentina;Retirado en Punto de Venta;Transferencia o depósito;POS-ORDER-1785357791778;29/07/2026;;SHOOW TOOLS - TWIGGY (NEGRO 8mm/10mm);30000;2;;Punto de venta;2031847836;Sí;Beauty House;30/07/2026 13:18:58;El cliente cambió de idea;No;;;;;;;;;Transferencia o depósito;;;;29/07/2026 17:44:50;
6299;d2c95c7bb4;;;;;;;;;;;;;;;;;SHOOW TOOLS - TWIGGY (NEGRO (8/10/12/14mm));30000;2;;;;Sí;;;;;;;;;;;;;;;;;;
6299;d2c95c7bb4;;;;;;;;;;;;;;;;;SHOOW TOOLS - WET N WILD (BLACK);30000;1;;;;Sí;;;;;;;;;;;;;;;;;;
6298;cb69ccd184;29/07/2026 16:00:06;Archivada;Recibido;Entregado;ARS;48000;0.00;11046.4;59046.4;Mendoza;Argentina;Envío Nube - Andreani a domicilio;Mercado Pago;;29/07/2026;05/08/2026;SHOOW TOOLS - ISABEL I (BLACK) (MIXED (8/10/12/14mm));30000;1;;Móvil;2031752696;Sí;;;;No;;;;;;;;;Billetera virtual;;;;;
6298;cb69ccd184;;;;;;;;;;;;;;;;;AOA STUDIO - PEGA DE PESTAÑAS COREANA;18000;1;3D24A;;;Sí;;;;;;;;;;;;;;;;;;
6297;77410c0b14;29/07/2026 11:29:35;Archivada;Recibido;Enviado;ARS;63000;12600.00;4500;54900;Capital Federal;Argentina;@Siempre.Logistica Servicio Premium. Te enviamos un WhatsApp el día anterior a tu entrega con un rango horario de solo 2 a 4hs para que no te quedes esperando todo el día. Ahorrá tiempo.;Transferencia;;29/07/2026;30/07/2026;THE CLUSTER TRIOLOGY (Solo, Solo, Solo);63000;1;1252446698|1252444571|1534920775;Móvil;2031561608;Sí;;;;No;;;;;;;;;Transferencia o depósito;;;;;
6296;6c065ff6ce;29/07/2026 00:14:43;Archivada;Recibido;Entregado;ARS;36000;7200.00;7802;36602;Santa Cruz;Argentina;Punto de retiro;Transferencia;;29/07/2026;06/08/2026;SHOOW TOOLS - KIT DE RETOQUE (4 pz);18000;2;850056827249;Móvil;2031283037;Sí;;;;No;;;;;;;;;Transferencia o depósito;;;;;
6295;19e0e6ac47;28/07/2026 22:14:01;Abierta;Recibido;No está empaquetado;ARS;36000;7200.00;0;28800;Gran Buenos Aires;Argentina;MANDO A RETIRAR ;Transferencia;;28/07/2026;;SHOOW TOOLS - SOFT & SHORT (10PAIRS);36000;1;850056827010;Móvil;2031084845;Sí;;;;No;;;;;;;;;Transferencia o depósito;;;;;
6294;4c6b7942e1;28/07/2026 19:16:39;Archivada;Recibido;Enviado;ARS;36000;7200.00;4500;33300;Capital Federal;Argentina;@Siempre.Logistica Servicio Premium. Te enviamos un WhatsApp el día anterior a tu entrega con un rango horario de solo 2 a 4hs para que no te quedes esperando todo el día. Ahorrá tiempo.;Transferencia;;28/07/2026;30/07/2026;SHOOW TOOLS - NATURAL SHOOW (10 PAIRS);36000;1;850056827003;Web;2030999177;Sí;;;;No;;;;;;;;;Transferencia o depósito;;;;;
6293;df7a593cfa;28/07/2026 03:48:05;Archivada;Recibido;Entregado;ARS;50000;20000.00;0;30000;Capital Federal;Argentina;MANDO A RETIRAR ;Pago Nube;;28/07/2026;28/07/2026;Italia deluxe - Delineadores de labios (Natural);10000;1;082353010332;Móvil;2030427664;Sí;;;;No;;;2191.08;1;;750.00;;27058.92;Tarjeta de crédito;28/07/2026 03:48:07;;;;
6293;df7a593cfa;;;;;;;;;;;;;;;;;Italia deluxe - Delineadores de labios (Hazelnut);10000;1;082353010646;;;Sí;;;;;;;;;;;;;;;;;;
6293;df7a593cfa;;;;;;;;;;;;;;;;;Italia deluxe - Delineadores de labios (Mauve);10000;1;082353010547;;;Sí;;;;;;;;;;;;;;;;;;
6293;df7a593cfa;;;;;;;;;;;;;;;;;Italia deluxe - Delineadores de labios (hot cocoa);10000;1;082353010608;;;Sí;;;;;;;;;;;;;;;;;;
6293;df7a593cfa;;;;;;;;;;;;;;;;;Italia deluxe - Delineadores de labios (Chocolate);10000;1;082353010332;;;Sí;;;;;;;;;;;;;;;;;;
6292;012f55d678;25/07/2026 23:48:38;Archivada;Recibido;Enviado;ARS;60000;0.00;9500;69500;Buenos Aires;Argentina;@Siempre.Logistica Servicio Premium. Te enviamos un WhatsApp el día anterior a tu entrega con un rango horario de solo 2 a 4hs para que no te quedes esperando todo el día. Ahorrá tiempo.;Mercado Pago;;25/07/2026;30/07/2026;SHOOW TOOLS - TWIGGY (NEGRO (8/10/12/14mm));30000;2;;Móvil;2028722117;Sí;;;;No;;;;;;;;;Billetera virtual;;;;;
6289;300105b700;24/07/2026 11:56:45;Archivada;Recibido;Enviado;ARS;50000;20000.00;8600;38600;Gran Buenos Aires;Argentina;Envío Nube - Correo Argentino Clásico a domicilio;Pago Nube;;24/07/2026;30/07/2026;Italia deluxe - Delineadores de labios (Natural);10000;1;082353010332;Móvil;2022804107;Sí;;;;No;;;2819.18;1;;;;35780.82;Tarjeta de crédito;24/07/2026 11:56:47;;;;
6289;300105b700;;;;;;;;;;;;;;;;;Italia deluxe - Delineadores de labios (natural beige);10000;2;082353010523;;;Sí;;;;;;;;;;;;;;;;;;
6289;300105b700;;;;;;;;;;;;;;;;;Italia deluxe - Delineadores de labios (Mauve);10000;1;082353010547;;;Sí;;;;;;;;;;;;;;;;;;
6289;300105b700;;;;;;;;;;;;;;;;;Italia deluxe - Delineadores de labios (hot cocoa);10000;1;082353010608;;;Sí;;;;;;;;;;;;;;;;;;
6288;5e64df71c2;23/07/2026 14:30:21;Archivada;Recibido;Entregado;ARS;30000;6000.00;0;24000;Capital Federal;Argentina;MANDO A RETIRAR ;Transferencia;;23/07/2026;24/07/2026;SHOOW TOOLS - Elizabeth Taylor (BLACK);30000;1;;Web;2026588155;Sí;;;;No;;;;;;;;;Transferencia o depósito;;;;;
6287;c641bc7216;23/07/2026 10:50:01;Archivada;Recibido;Entregado;ARS;38000;0.00;10555;48555;Corrientes;Argentina;Envío Nube - Correo Argentino Clásico a domicilio;Pago Nube;;23/07/2026;03/08/2026;SHOOW TOOLS - MANIQUI DE SILICONA PARA MAQUILLAJES (Grises);38000;1;888877776666;Móvil;2026346868;Sí;;;;No;;;3546.26;1;;;;45008.74;Tarjeta de crédito;23/07/2026 10:50:02;;;;
6285;759163ae7f;21/07/2026 20:46:50;Archivada;Recibido;Enviado;ARS;9600;1920.00;4500;12180;Capital Federal;Argentina;@Siempre.Logistica Servicio Premium. Te enviamos un WhatsApp el día anterior a tu entrega con un rango horario de solo 2 a 4hs para que no te quedes esperando todo el día. Ahorrá tiempo.;Transferencia;;21/07/2026;04/08/2026;(PRE- LANZAMIENTO) SHOOW TOOLS - MASCARA GUARD SHIELD (Aplicador de mascara/rimel);9600;1;;Móvil;2016605921;Sí;;;;No;;;;;;;;;Transferencia o depósito;;;;;
6284;31651ce68c;21/07/2026 17:14:33;Archivada;Recibido;Entregado;ARS;9600;0.00;0;9600;;Argentina;Retirado en Punto de Venta;Efectivo;;21/07/2026;21/07/2026;(PRE- LANZAMIENTO) SHOOW TOOLS - MASCARA GUARD SHIELD (Aplicador de mascara/rimel);9600;1;;Punto de venta;2024704756;Sí;Beauty House;;;No;;;;;;;;;Efectivo;;;;;
6283;f7193ec0bb;21/07/2026 15:15:43;Archivada;Recibido;Enviado;ARS;216820.05;0.00;0;216820.05;Capital Federal;Argentina;@Siempre.Logistica Servicio Premium. Te enviamos un WhatsApp el día anterior a tu entrega con un rango horario de solo 2 a 4hs para que no te quedes esperando todo el día. Ahorrá tiempo.;Pago Nube;;21/07/2026;28/07/2026;Elf cosmetics - Power Grip Primer;60000;1;609332828469;Web;2024558010;Sí;;;;No;;;15835.66;3;28229.97;5420.50;;167333.92;Tarjeta de crédito;21/07/2026 15:15:44;;;;
6283;f7193ec0bb;;;;;;;;;;;;;;;;;AOA STUDIO - DELINEADOR LIQUIDO (Love birds);15000;1;100000116661;;;Sí;;;;;;;;;;;;;;;;;;
6283;f7193ec0bb;;;;;;;;;;;;;;;;;ITALIA DELUXE - P.H.A.T N' JELLY COOLING WATER TINT (JUST PEACHY);28000;1;782353308032;;;Sí;;;;;;;;;;;;;;;;;;
6283;f7193ec0bb;;;;;;;;;;;;;;;;;JESSUP- FACE COLLETION 5 EN 1 (T503);68820.05;1;6976074375037;;;Sí;;;;;;;;;;;;;;;;;;
6283;f7193ec0bb;;;;;;;;;;;;;;;;;ELF cosmetics - Brow laminating gel;45000;1;;;;Sí;;;;;;;;;;;;;;;;;;
6282;070e1fe3c1;20/07/2026 21:42:10;Archivada;Recibido;Entregado;ARS;97200;19440.00;10196.55;87956.55;Santa Fe;Argentina;Envío Nube - Andreani a domicilio;Transferencia;;21/07/2026;27/07/2026;SHOOW TOOLS - FOXY #3 (10PAIRS);32400;3;850056827102;Móvil;2024018946;Sí;;;;No;;;;;;;;;Transferencia o depósito;;;;;
6281;76a4067985;20/07/2026 11:34:38;Archivada;Recibido;Entregado;ARS;75000.02;15000.00;0;60000.02;Capital Federal;Argentina;MANDO A RETIRAR ;Transferencia;;20/07/2026;21/07/2026;SHOOW TOOLS - TAYLOR (BLACK) (8mm/10mm);30000;2;;Móvil;2018479652;Sí;;;;No;;;;;;;;;Transferencia o depósito;;;;;
6281;76a4067985;;;;;;;;;;;;;;;;;Cepillo para peinado - PULIR (NEGRO);15000.02;1;53131600;;;Sí;;;;;;;;;;;;;;;;;;
6280;e0ebba5490;18/07/2026 22:40:47;Archivada;Recibido;Entregado;ARS;30000;0.00;7824;37824;Gran Buenos Aires;Argentina;Envío Nube - Correo Argentino Clásico a domicilio;Pago Nube;;18/07/2026;23/07/2026;SHOOW TOOLS - TAYLOR (CHOCOLATE) (8/8/10/12 mm);30000;1;;Móvil;2022608678;Sí;;;;No;;;2762.51;1;;;;35061.49;Tarjeta de crédito;18/07/2026 22:40:48;;;;
6279;69685b03c3;18/07/2026 16:13:13;Archivada;Recibido;Entregado;ARS;150600;30120.00;9741;130221;Entre Ríos;Argentina;Envío Nube - Correo Argentino Clásico a domicilio;Transferencia;;18/07/2026;07/08/2026;(PRE- LANZAMIENTO) SHOOW TOOLS - MASCARA GUARD SHIELD (Aplicador de mascara/rimel);9600;1;;Móvil;2022369683;Sí;;;;No;;;;;;;;;Transferencia o depósito;;;;;
6279;69685b03c3;;;;;;;;;;;;;;;;;SHOOW TOOLS - CLARA BOW (BLACK);30000;1;;;;Sí;;;;;;;;;;;;;;;;;;
6279;69685b03c3;;;;;;;;;;;;;;;;;SHOOW TOOLS - The clippers quartette (hebillas) Hair clips;18000;1;;;;Sí;;;;;;;;;;;;;;;;;;
6279;69685b03c3;;;;;;;;;;;;;;;;;SHOOW TOOLS - Elizabeth Taylor (BLACK);30000;1;;;;Sí;;;;;;;;;;;;;;;;;;
6279;69685b03c3;;;;;;;;;;;;;;;;;THE CLUSTER TRIOLOGY (Solo, Solo, Solo);63000;1;1252446698|1252444571|1534920775;;;Sí;;;;;;;;;;;;;;;;;;
6278;e4c7ff7197;16/07/2026 16:35:06;Archivada;Recibido;Enviado;ARS;30000;0.00;4500;34500;Capital Federal;Argentina;@Siempre.Logistica Servicio Premium. Te enviamos un WhatsApp el día anterior a tu entrega con un rango horario de solo 2 a 4hs para que no te quedes esperando todo el día. Ahorrá tiempo.;Pago Nube;;16/07/2026;21/07/2026;SHOOW TOOLS - Elizabeth Taylor (BLACK);30000;1;;Web;2020760191;Sí;;;;No;;;2519.74;1;;862.50;;31117.76;Tarjeta de crédito;16/07/2026 16:35:08;;;;
6277;4c7c465680;16/07/2026 13:45:06;Archivada;Recibido;Entregado;ARS;93000;13950.00;8880;87930;Santa Fe;Argentina;Envío Nube - Correo Argentino Clásico a domicilio;Pago Nube;MASTERGL;16/07/2026;23/07/2026;SHOOW TOOLS - Triangle powder puff (3 units);15000;2;;Móvil;2019182876;Sí;;;;No;;;6422.05;1;;;;81507.95;Tarjeta de crédito;16/07/2026 13:45:07;;;;
6277;4c7c465680;;;;;;;;;;;;;;;;;THE CLUSTER TRIOLOGY (Solo, Solo, Solo);63000;1;1252446698|1252444571|1534920775;;;Sí;;;;;;;;;;;;;;;;;;
